Customer,ID,Anker SKU,PDT,Forecast Type,Quarter,Week,Forecast - Units,Forecast Revenue,Delta Units,Delta Revenue,Gap Flag,IsCurrentQ,,,
AAFES,1503,A2038J21-1,Charger,Unconstrained,Q3 2025,202537,96,"$2,379.84",0.00,$0.00,,TRUE,1503A2038J21-1,24.79,Fresh Week 35
AAFES,1503,Y1811JA1-1,Wireless,Constrained,Q3 2025,202537,48,"$4,463.52",0.00,$0.00,,TRUE,1503Y1811JA1-1,92.99,Fresh Week 35
AAFES,1503,Y1811JA1-1,Wireless,Unconstrained,Q3 2025,202537,48,"$4,463.52",0.00,$0.00,,TRUE,1503Y1811JA1-1,92.99,Fresh Week 35
Amazon Vendor_MFA_AU,51259,Y1822T15,Wireless,Constrained,Q3 2025,202536,"1,200","$13,860.00",0.00,$0.00,,TRUE,51259Y1822T15,11.55,Fresh Week 35
Amazon Vendor_MFA_AU,51259,Y1822T15,Wireless,Unconstrained,Q3 2025,202536,"1,200","$13,860.00",0.00,$0.00,,TRUE,51259Y1822T15,11.55,Fresh Week 35
Amazon Vendor_MFA_AU,51259,Y1822T15,Wireless,Constrained,Q3 2025,202537,"1,920","$22,176.00",0.00,$0.00,,TRUE,51259Y1822T15,11.55,Fresh Week 35
Amazon Vendor_MFA_AU,51259,Y1822T15,Wireless,Unconstrained,Q3 2025,202537,"1,920","$22,176.00",0.00,$0.00,,TRUE,51259Y1822T15,11.55,Fresh Week 35
Amazon Vendor_MFA_CA,2030,Y1822J15,Wireless,Constrained,Q3 2025,202539,"1,440","$16,632.00",0.00,$0.00,,TRUE,2030Y1822J15,11.55,Fresh Week 35
Amazon Vendor_MFA_CA,2030,Y1822J15,Wireless,Unconstrained,Q3 2025,202539,"1,440","$16,632.00",0.00,$0.00,,TRUE,2030Y1822J15,11.55,Fresh Week 35
Amazon Vendor_MFA_DE,2005,Y1822G15,Wireless,Constrained,Q3 2025,202536,480,"$5,544.00",0.00,$0.00,,TRUE,2005Y1822G15,11.55,Fresh Week 35
Amazon Vendor_MFA_DE,2005,Y1822G15,Wireless,Unconstrained,Q3 2025,202536,480,"$5,544.00",0.00,$0.00,,TRUE,2005Y1822G15,11.55,Fresh Week 35
Amazon Vendor_MFA_DE,2005,Y1822G15,Wireless,Constrained,Q3 2025,202539,"10,800","$124,740.00",0.00,$0.00,,TRUE,2005Y1822G15,11.55,Fresh Week 35
Amazon Vendor_MFA_DE,2005,Y1822G15,Wireless,Unconstrained,Q3 2025,202539,"10,800","$124,740.00",0.00,$0.00,,TRUE,2005Y1822G15,11.55,Fresh Week 35
Amazon Vendor_MFA_UK,2097,Y1822V15,Wireless,Constrained,Q3 2025,202537,"3,120","$37,159.20",0.00,$0.00,,TRUE,2097Y1822V15,11.91,Fresh Week 35
Amazon Vendor_MFA_UK,2097,Y1822V15,Wireless,Unconstrained,Q3 2025,202537,"3,120","$37,159.20",0.00,$0.00,,TRUE,2097Y1822V15,11.91,Fresh Week 35
Amazon Vendor_MFA_UK,2097,Y1822V15,Wireless,Constrained,Q3 2025,202538,"1,680","$20,008.80",0.00,$0.00,,TRUE,2097Y1822V15,11.91,Fresh Week 35
Amazon Vendor_MFA_UK,2097,Y1822V15,Wireless,Unconstrained,Q3 2025,202538,"1,680","$20,008.80",0.00,$0.00,,TRUE,2097Y1822V15,11.91,Fresh Week 35
Amazon Vendor_MFA_UK,2097,Y1822V15,Wireless,Constrained,Q3 2025,202539,"2,880","$34,300.80",0.00,$0.00,,TRUE,2097Y1822V15,11.91,Fresh Week 35
Amazon Vendor_MFA_UK,2097,Y1822V15,Wireless,Unconstrained,Q3 2025,202539,"2,880","$34,300.80",0.00,$0.00,,TRUE,2097Y1822V15,11.91,Fresh Week 35
Amazon Vendor_MFA_UK,2097,Y1822V15,Wireless,Constrained,Q4 2025,202548,"3,840","$45,734.40",0.00,$0.00,,FALSE,2097Y1822V15,11.91,Fresh Week 35
Amazon Vendor_MFA_UK,2097,Y1822V15,Wireless,Unconstrained,Q4 2025,202548,"3,840","$45,734.40",0.00,$0.00,,FALSE,2097Y1822V15,11.91,Fresh Week 35
Amazon Vendor_MFA_US,1989,Y1822J15,Wireless,Constrained,Q3 2025,202537,"18,240","$210,672.00",0.00,$0.00,,TRUE,1989Y1822J15,11.55,Fresh Week 35
Amazon Vendor_MFA_US,1989,Y1822J15,Wireless,Unconstrained,Q3 2025,202537,"18,240","$210,672.00",0.00,$0.00,,TRUE,1989Y1822J15,11.55,Fresh Week 35
Amazon Vendor_MFA_US,1989,Y1822J15,Wireless,Constrained,Q3 2025,202539,"20,880","$241,164.00",0.00,$0.00,,TRUE,1989Y1822J15,11.55,Fresh Week 35
Amazon Vendor_MFA_US,1989,Y1822J15,Wireless,Unconstrained,Q3 2025,202539,"20,880","$241,164.00",0.00,$0.00,,TRUE,1989Y1822J15,11.55,Fresh Week 35
Amazon Vendor_MFA_US,1989,Y1822J15,Wireless,Constrained,Q4 2025,202541,"6,960","$80,388.00",0.00,$0.00,,FALSE,1989Y1822J15,11.55,Fresh Week 35
Amazon Vendor_MFA_US,1989,Y1822J15,Wireless,Unconstrained,Q4 2025,202541,"6,960","$80,388.00",0.00,$0.00,,FALSE,1989Y1822J15,11.55,Fresh Week 35
Amazon Vendor_MFA_US,1989,Y1822J15,Wireless,Constrained,Q4 2025,202542,"6,960","$80,388.00",0.00,$0.00,,FALSE,1989Y1822J15,11.55,Fresh Week 35
Amazon Vendor_MFA_US,1989,Y1822J15,Wireless,Unconstrained,Q4 2025,202542,"6,960","$80,388.00",0.00,$0.00,,FALSE,1989Y1822J15,11.55,Fresh Week 35
Amazon Vendor_MFA_US,1989,Y1822J15,Wireless,Constrained,Q4 2025,202543,"4,800","$55,440.00",0.00,$0.00,,FALSE,1989Y1822J15,11.55,Fresh Week 35
Amazon Vendor_MFA_US,1989,Y1822J15,Wireless,Unconstrained,Q4 2025,202543,"4,800","$55,440.00",0.00,$0.00,,FALSE,1989Y1822J15,11.55,Fresh Week 35
Amazon Vendor_MFA_US,1989,Y1822J15,Wireless,Constrained,Q4 2025,202544,"6,960","$80,388.00",0.00,$0.00,,FALSE,1989Y1822J15,11.55,Fresh Week 35
Amazon Vendor_MFA_US,1989,Y1822J15,Wireless,Unconstrained,Q4 2025,202544,"6,960","$80,388.00",0.00,$0.00,,FALSE,1989Y1822J15,11.55,Fresh Week 35
Amazon Vendor_MFA_US,1989,Y1822J15,Wireless,Constrained,Q4 2025,202545,"6,960","$80,388.00",0.00,$0.00,,FALSE,1989Y1822J15,11.55,Fresh Week 35
Amazon Vendor_MFA_US,1989,Y1822J15,Wireless,Unconstrained,Q4 2025,202545,"6,960","$80,388.00",0.00,$0.00,,FALSE,1989Y1822J15,11.55,Fresh Week 35
Amazon Vendor_MFA_US,1989,Y1822J15,Wireless,Constrained,Q4 2025,202547,"6,960","$80,388.00",0.00,$0.00,,FALSE,1989Y1822J15,11.55,Fresh Week 35
Amazon Vendor_MFA_US,1989,Y1822J15,Wireless,Unconstrained,Q4 2025,202547,"6,960","$80,388.00",0.00,$0.00,,FALSE,1989Y1822J15,11.55,Fresh Week 35
Amazon Vendor_MFA_US,1989,Y1822J15,Wireless,Constrained,Q4 2025,202548,"6,960","$80,388.00",0.00,$0.00,,FALSE,1989Y1822J15,11.55,Fresh Week 35
Amazon Vendor_MFA_US,1989,Y1822J15,Wireless,Unconstrained,Q4 2025,202548,"6,960","$80,388.00",0.00,$0.00,,FALSE,1989Y1822J15,11.55,Fresh Week 35
Amazon Vendor_MFA_US,1989,Y1822J15,Wireless,Constrained,Q4 2025,202549,"6,960","$80,388.00",0.00,$0.00,,FALSE,1989Y1822J15,11.55,Fresh Week 35
Amazon Vendor_MFA_US,1989,Y1822J15,Wireless,Unconstrained,Q4 2025,202549,"6,960","$80,388.00",0.00,$0.00,,FALSE,1989Y1822J15,11.55,Fresh Week 35
Amazon Vendor_MFA_US,1989,Y1822J15,Wireless,Constrained,Q4 2025,202550,"1,200","$13,860.00",0.00,$0.00,,FALSE,1989Y1822J15,11.55,Fresh Week 35
Amazon Vendor_MFA_US,1989,Y1822J15,Wireless,Unconstrained,Q4 2025,202550,"1,200","$13,860.00",0.00,$0.00,,FALSE,1989Y1822J15,11.55,Fresh Week 35
Amazon Vendor_MFA_US,1989,Y1822J15,Wireless,Constrained,Q4 2025,202552,"2,160","$24,948.00",0.00,$0.00,,FALSE,1989Y1822J15,11.55,Fresh Week 35
Amazon Vendor_MFA_US,1989,Y1822J15,Wireless,Unconstrained,Q4 2025,202552,"2,160","$24,948.00",0.00,$0.00,,FALSE,1989Y1822J15,11.55,Fresh Week 35
Apple AU,52741,B2657T21,Charger,Constrained,Q3 2025,202536,44,$524.40,0.00,$0.00,,TRUE,52741B2657T21,12,Fresh Week 35
Apple AU,52741,B2657T21,Charger,Unconstrained,Q3 2025,202536,44,$524.40,0.00,$0.00,,TRUE,52741B2657T21,12,Fresh Week 35
Apple AU,52741,B2657T21,Charger,Constrained,Q3 2025,202537,44,$524.40,0.00,$0.00,,TRUE,52741B2657T21,12,Fresh Week 35
Apple AU,52741,B2657T21,Charger,Unconstrained,Q3 2025,202537,44,$524.40,0.00,$0.00,,TRUE,52741B2657T21,12,Fresh Week 35
Apple AU,52741,B2657T21,Charger,Constrained,Q3 2025,202538,44,$524.40,1.90,$22.80,,TRUE,52741B2657T21,12,Fresh Week 35
Apple AU,52741,B2657T21,Charger,Unconstrained,Q3 2025,202538,42,$501.60,0.00,$0.00,,TRUE,52741B2657T21,12,Fresh Week 35
Apple AU,52741,B2657T21,Charger,Constrained,Q3 2025,202539,42,$501.60,1.90,$22.80,,TRUE,52741B2657T21,12,Fresh Week 35
Apple AU,52741,B2657T21,Charger,Unconstrained,Q3 2025,202539,40,$478.80,0.00,$0.00,,TRUE,52741B2657T21,12,Fresh Week 35
Apple AU,52741,B2657T21,Charger,Constrained,Q4 2025,202540,40,$478.80,1.90,$22.80,,FALSE,52741B2657T21,12,Fresh Week 35
Apple AU,52741,B2657T21,Charger,Unconstrained,Q4 2025,202540,38,$456.00,0.00,$0.00,,FALSE,52741B2657T21,12,Fresh Week 35
Apple AU,52741,B2657T21,Charger,Constrained,Q4 2025,202541,38,$456.00,3.80,$45.60,,FALSE,52741B2657T21,12,Fresh Week 35
Apple AU,52741,B2657T21,Charger,Unconstrained,Q4 2025,202541,34,$410.40,0.00,$0.00,,FALSE,52741B2657T21,12,Fresh Week 35
Apple AU,52741,B2657T21,Charger,Constrained,Q4 2025,202542,34,$410.40,-17.10,-$205.20,Supply Gap,FALSE,52741B2657T21,12,Fresh Week 35
Apple AU,52741,B2657T21,Charger,Unconstrained,Q4 2025,202542,51,$615.60,0.00,$0.00,,FALSE,52741B2657T21,12,Fresh Week 35
Apple AU,52741,B2657T21,Charger,Constrained,Q4 2025,202543,51,$615.60,-1.14,-$13.68,Supply Gap,FALSE,52741B2657T21,12,Fresh Week 35
Apple AU,52741,B2657T21,Charger,Unconstrained,Q4 2025,202543,52,$629.28,0.00,$0.00,,FALSE,52741B2657T21,12,Fresh Week 35
Apple AU,52741,B2657T21,Charger,Constrained,Q4 2025,202544,52,$629.28,18.24,$218.88,,FALSE,52741B2657T21,12,Fresh Week 35
Apple AU,52741,B2657T21,Charger,Unconstrained,Q4 2025,202544,34,$410.40,0.00,$0.00,,FALSE,52741B2657T21,12,Fresh Week 35
Apple AU,52741,B2657T21,Charger,Constrained,Q4 2025,202545,34,$410.40,-11.40,-$136.80,Supply Gap,FALSE,52741B2657T21,12,Fresh Week 35
Apple AU,52741,B2657T21,Charger,Unconstrained,Q4 2025,202545,46,$547.20,0.00,$0.00,,FALSE,52741B2657T21,12,Fresh Week 35
Apple AU,52741,B2657T21,Charger,Constrained,Q4 2025,202546,46,$547.20,0.00,$0.00,,FALSE,52741B2657T21,12,Fresh Week 35
Apple AU,52741,B2657T21,Charger,Unconstrained,Q4 2025,202546,46,$547.20,0.00,$0.00,,FALSE,52741B2657T21,12,Fresh Week 35
Apple AU,52741,B2657T21,Charger,Constrained,Q4 2025,202547,46,$547.20,0.00,$0.00,,FALSE,52741B2657T21,12,Fresh Week 35
Apple AU,52741,B2657T21,Charger,Unconstrained,Q4 2025,202547,46,$547.20,0.00,$0.00,,FALSE,52741B2657T21,12,Fresh Week 35
Apple AU,52741,B2657T21,Charger,Constrained,Q4 2025,202548,46,$547.20,-6.84,-$82.08,Supply Gap,FALSE,52741B2657T21,12,Fresh Week 35
Apple AU,52741,B2657T21,Charger,Unconstrained,Q4 2025,202548,52,$629.28,0.00,$0.00,,FALSE,52741B2657T21,12,Fresh Week 35
Apple AU,52741,B2657T21,Charger,Constrained,Q4 2025,202549,52,$629.28,0.00,$0.00,,FALSE,52741B2657T21,12,Fresh Week 35
Apple AU,52741,B2657T21,Charger,Unconstrained,Q4 2025,202549,52,$629.28,0.00,$0.00,,FALSE,52741B2657T21,12,Fresh Week 35
Apple AU,52741,B2657T21,Charger,Constrained,Q4 2025,202550,52,$629.28,3.04,$36.48,,FALSE,52741B2657T21,12,Fresh Week 35
Apple AU,52741,B2657T21,Charger,Unconstrained,Q4 2025,202550,49,$592.80,0.00,$0.00,,FALSE,52741B2657T21,12,Fresh Week 35
Apple AU,52741,B2657T21,Charger,Constrained,Q4 2025,202551,49,$592.80,1.90,$22.80,,FALSE,52741B2657T21,12,Fresh Week 35
Apple AU,52741,B2657T21,Charger,Unconstrained,Q4 2025,202551,48,$570.00,0.00,$0.00,,FALSE,52741B2657T21,12,Fresh Week 35
Apple AU,52741,B2657T21,Charger,Constrained,Q4 2025,202552,48,$570.00,-3.80,-$45.60,Supply Gap,FALSE,52741B2657T21,12,Fresh Week 35
Apple AU,52741,B2657T21,Charger,Unconstrained,Q4 2025,202552,51,$615.60,0.00,$0.00,,FALSE,52741B2657T21,12,Fresh Week 35
Apple AU,52741,A2689T21,Charger,Constrained,Q3 2025,202536,52,$776.25,0.00,$0.00,,TRUE,52741A2689T21,15,Fresh Week 35
Apple AU,52741,A2689T21,Charger,Unconstrained,Q3 2025,202536,52,$776.25,0.00,$0.00,,TRUE,52741A2689T21,15,Fresh Week 35
Apple AU,52741,A2689T21,Charger,Constrained,Q3 2025,202537,52,$776.25,0.00,$0.00,,TRUE,52741A2689T21,15,Fresh Week 35
Apple AU,52741,A2689T21,Charger,Unconstrained,Q3 2025,202537,52,$776.25,0.00,$0.00,,TRUE,52741A2689T21,15,Fresh Week 35
Apple AU,52741,A2689T21,Charger,Constrained,Q3 2025,202538,52,$776.25,2.25,$33.75,,TRUE,52741A2689T21,15,Fresh Week 35
Apple AU,52741,A2689T21,Charger,Unconstrained,Q3 2025,202538,50,$742.50,0.00,$0.00,,TRUE,52741A2689T21,15,Fresh Week 35
Apple AU,52741,A2689T21,Charger,Constrained,Q3 2025,202539,50,$742.50,2.25,$33.75,,TRUE,52741A2689T21,15,Fresh Week 35
Apple AU,52741,A2689T21,Charger,Unconstrained,Q3 2025,202539,47,$708.75,0.00,$0.00,,TRUE,52741A2689T21,15,Fresh Week 35
Apple AU,52741,A2689T21,Charger,Constrained,Q4 2025,202540,47,$708.75,2.25,$33.75,,FALSE,52741A2689T21,15,Fresh Week 35
Apple AU,52741,A2689T21,Charger,Unconstrained,Q4 2025,202540,45,$675.00,0.00,$0.00,,FALSE,52741A2689T21,15,Fresh Week 35
Apple AU,52741,A2689T21,Charger,Constrained,Q4 2025,202541,45,$675.00,4.50,$67.50,,FALSE,52741A2689T21,15,Fresh Week 35
Apple AU,52741,A2689T21,Charger,Unconstrained,Q4 2025,202541,41,$607.50,0.00,$0.00,,FALSE,52741A2689T21,15,Fresh Week 35
Apple AU,52741,A2689T21,Charger,Constrained,Q4 2025,202542,41,$607.50,-20.25,-$303.75,Supply Gap,FALSE,52741A2689T21,15,Fresh Week 35
Apple AU,52741,A2689T21,Charger,Unconstrained,Q4 2025,202542,61,$911.25,0.00,$0.00,,FALSE,52741A2689T21,15,Fresh Week 35
Apple AU,52741,A2689T21,Charger,Constrained,Q4 2025,202543,61,$911.25,-1.35,-$20.25,Supply Gap,FALSE,52741A2689T21,15,Fresh Week 35
Apple AU,52741,A2689T21,Charger,Unconstrained,Q4 2025,202543,62,$931.50,0.00,$0.00,,FALSE,52741A2689T21,15,Fresh Week 35
Apple AU,52741,A2689T21,Charger,Constrained,Q4 2025,202544,62,$931.50,21.60,$324.00,,FALSE,52741A2689T21,15,Fresh Week 35
Apple AU,52741,A2689T21,Charger,Unconstrained,Q4 2025,202544,41,$607.50,0.00,$0.00,,FALSE,52741A2689T21,15,Fresh Week 35
Apple AU,52741,A2689T21,Charger,Constrained,Q4 2025,202545,41,$607.50,-13.50,-$202.50,Supply Gap,FALSE,52741A2689T21,15,Fresh Week 35
Apple AU,52741,A2689T21,Charger,Unconstrained,Q4 2025,202545,54,$810.00,0.00,$0.00,,FALSE,52741A2689T21,15,Fresh Week 35
Apple AU,52741,A2689T21,Charger,Constrained,Q4 2025,202546,54,$810.00,0.00,$0.00,,FALSE,52741A2689T21,15,Fresh Week 35
Apple AU,52741,A2689T21,Charger,Unconstrained,Q4 2025,202546,54,$810.00,0.00,$0.00,,FALSE,52741A2689T21,15,Fresh Week 35
Apple AU,52741,A2689T21,Charger,Constrained,Q4 2025,202547,54,$810.00,0.00,$0.00,,FALSE,52741A2689T21,15,Fresh Week 35
Apple AU,52741,A2689T21,Charger,Unconstrained,Q4 2025,202547,54,$810.00,0.00,$0.00,,FALSE,52741A2689T21,15,Fresh Week 35
Apple AU,52741,A2689T21,Charger,Constrained,Q4 2025,202548,54,$810.00,-8.10,-$121.50,Supply Gap,FALSE,52741A2689T21,15,Fresh Week 35
Apple AU,52741,A2689T21,Charger,Unconstrained,Q4 2025,202548,62,$931.50,0.00,$0.00,,FALSE,52741A2689T21,15,Fresh Week 35
Apple AU,52741,A2689T21,Charger,Constrained,Q4 2025,202549,62,$931.50,0.00,$0.00,,FALSE,52741A2689T21,15,Fresh Week 35
Apple AU,52741,A2689T21,Charger,Unconstrained,Q4 2025,202549,62,$931.50,0.00,$0.00,,FALSE,52741A2689T21,15,Fresh Week 35
Apple AU,52741,A2689T21,Charger,Constrained,Q4 2025,202550,62,$931.50,3.60,$54.00,,FALSE,52741A2689T21,15,Fresh Week 35
Apple AU,52741,A2689T21,Charger,Unconstrained,Q4 2025,202550,59,$877.50,0.00,$0.00,,FALSE,52741A2689T21,15,Fresh Week 35
Apple AU,52741,A2689T21,Charger,Constrained,Q4 2025,202551,59,$877.50,2.25,$33.75,,FALSE,52741A2689T21,15,Fresh Week 35
Apple AU,52741,A2689T21,Charger,Unconstrained,Q4 2025,202551,56,$843.75,0.00,$0.00,,FALSE,52741A2689T21,15,Fresh Week 35
Apple AU,52741,A2689T21,Charger,Constrained,Q4 2025,202552,56,$843.75,-4.50,-$67.50,Supply Gap,FALSE,52741A2689T21,15,Fresh Week 35
Apple AU,52741,A2689T21,Charger,Unconstrained,Q4 2025,202552,61,$911.25,0.00,$0.00,,FALSE,52741A2689T21,15,Fresh Week 35
Apple AU,52741,A2604T21,Charger,Constrained,Q3 2025,202536,25,$607.20,0.00,$0.00,,TRUE,52741A2604T21,24,Fresh Week 35
Apple AU,52741,A2604T21,Charger,Unconstrained,Q3 2025,202536,25,$607.20,0.00,$0.00,,TRUE,52741A2604T21,24,Fresh Week 35
Apple AU,52741,A2604T21,Charger,Constrained,Q3 2025,202537,25,$607.20,0.00,$0.00,,TRUE,52741A2604T21,24,Fresh Week 35
Apple AU,52741,A2604T21,Charger,Unconstrained,Q3 2025,202537,25,$607.20,0.00,$0.00,,TRUE,52741A2604T21,24,Fresh Week 35
Apple AU,52741,A2604T21,Charger,Constrained,Q3 2025,202538,25,$607.20,1.10,$26.40,,TRUE,52741A2604T21,24,Fresh Week 35
Apple AU,52741,A2604T21,Charger,Unconstrained,Q3 2025,202538,24,$580.80,0.00,$0.00,,TRUE,52741A2604T21,24,Fresh Week 35
Apple AU,52741,A2604T21,Charger,Constrained,Q3 2025,202539,24,$580.80,1.10,$26.40,,TRUE,52741A2604T21,24,Fresh Week 35
Apple AU,52741,A2604T21,Charger,Unconstrained,Q3 2025,202539,23,$554.40,0.00,$0.00,,TRUE,52741A2604T21,24,Fresh Week 35
Apple AU,52741,A2604T21,Charger,Constrained,Q4 2025,202540,23,$554.40,1.10,$26.40,,FALSE,52741A2604T21,24,Fresh Week 35
Apple AU,52741,A2604T21,Charger,Unconstrained,Q4 2025,202540,22,$528.00,0.00,$0.00,,FALSE,52741A2604T21,24,Fresh Week 35
Apple AU,52741,A2604T21,Charger,Constrained,Q4 2025,202541,22,$528.00,2.20,$52.80,,FALSE,52741A2604T21,24,Fresh Week 35
Apple AU,52741,A2604T21,Charger,Unconstrained,Q4 2025,202541,20,$475.20,0.00,$0.00,,FALSE,52741A2604T21,24,Fresh Week 35
Apple AU,52741,A2604T21,Charger,Constrained,Q4 2025,202542,20,$475.20,-9.90,-$237.60,Supply Gap,FALSE,52741A2604T21,24,Fresh Week 35
Apple AU,52741,A2604T21,Charger,Unconstrained,Q4 2025,202542,30,$712.80,0.00,$0.00,,FALSE,52741A2604T21,24,Fresh Week 35
Apple AU,52741,A2604T21,Charger,Constrained,Q4 2025,202543,30,$712.80,-0.66,-$15.84,Supply Gap,FALSE,52741A2604T21,24,Fresh Week 35
Apple AU,52741,A2604T21,Charger,Unconstrained,Q4 2025,202543,30,$728.64,0.00,$0.00,,FALSE,52741A2604T21,24,Fresh Week 35
Apple AU,52741,A2604T21,Charger,Constrained,Q4 2025,202544,30,$728.64,10.56,$253.44,,FALSE,52741A2604T21,24,Fresh Week 35
Apple AU,52741,A2604T21,Charger,Unconstrained,Q4 2025,202544,20,$475.20,0.00,$0.00,,FALSE,52741A2604T21,24,Fresh Week 35
Apple AU,52741,A2604T21,Charger,Constrained,Q4 2025,202545,20,$475.20,-6.60,-$158.40,Supply Gap,FALSE,52741A2604T21,24,Fresh Week 35
Apple AU,52741,A2604T21,Charger,Unconstrained,Q4 2025,202545,26,$633.60,0.00,$0.00,,FALSE,52741A2604T21,24,Fresh Week 35
Apple AU,52741,A2604T21,Charger,Constrained,Q4 2025,202546,26,$633.60,0.00,$0.00,,FALSE,52741A2604T21,24,Fresh Week 35
Apple AU,52741,A2604T21,Charger,Unconstrained,Q4 2025,202546,26,$633.60,0.00,$0.00,,FALSE,52741A2604T21,24,Fresh Week 35
Apple AU,52741,A2604T21,Charger,Constrained,Q4 2025,202547,26,$633.60,0.00,$0.00,,FALSE,52741A2604T21,24,Fresh Week 35
